x=0, z=1, y=1
x=0, z=1, y=2
x=0, z=1, y=469
x=0, z=2, y=1
x=0, z=2, y=2
x=0, z=2, y=469
x=0, z=469, y=1
x=0, z=469, y=2
x=0, z=469, y=469
x=1, z=0, y=0
x=1, z=0, y=6
x=1, z=0, y=385
x=1, z=6, y=0
x=1, z=6, y=6
x=1, z=6, y=385
x=1, z=385, y=0
x=1, z=385, y=6
x=1, z=385, y=385
x=2, z=0, y=0
x=2, z=0, y=3
x=2, z=3, y=0
x=2, z=3, y=3
x=3, z=2, y=2
x=3, z=2, y=4
x=3, z=2, y=419
x=3, z=2, y=422
x=3, z=4, y=2
x=3, z=4, y=4
x=3, z=4, y=419
x=3, z=4, y=422
x=3, z=419, y=2
x=3, z=419, y=4
x=3, z=419, y=419
x=3, z=419, y=422
x=3, z=422, y=2
x=3, z=422, y=4
x=3, z=422, y=419
x=3, z=422, y=422
x=4, z=3, y=3
x=4, z=3, y=5
x=4, z=3, y=98
x=4, z=3, y=420
x=4, z=5, y=3
x=4, z=5, y=5
x=4, z=5, y=98
x=4, z=5, y=420
x=4, z=98, y=3
x=4, z=98, y=5
x=4, z=98, y=98
x=4, z=98, y=420
x=4, z=420, y=3
x=4, z=420, y=5
x=4, z=420, y=98
x=4, z=420, y=420
x=5, z=4, y=4
x=5, z=4, y=6
x=5, z=4, y=98
x=5, z=6, y=4
x=5, z=6, y=6
x=5, z=6, y=98
x=5, z=98, y=4
x=5, z=98, y=6
x=5, z=98, y=98
x=6, z=1, y=1
x=6, z=1, y=5
x=6, z=5, y=1
x=6, z=5, y=5
x=7, z=8, y=8
x=7, z=8, y=9
x=7, z=8, y=79
x=7, z=9, y=8
x=7, z=9, y=9
x=7, z=9, y=79
x=7, z=79, y=8
x=7, z=79, y=9
x=7, z=79, y=79
x=8, z=7, y=7
x=8, z=7, y=33
x=8, z=33, y=7
x=8, z=33, y=33
x=9, z=7, y=7
x=9, z=7, y=10
x=9, z=7, y=84
x=9, z=10, y=7
x=9, z=10, y=10
x=9, z=10, y=84
x=9, z=84, y=7
x=9, z=84, y=10
x=9, z=84, y=84
x=10, z=9, y=9
x=10, z=9, y=11
x=10, z=9, y=84
x=10, z=9, y=110
x=10, z=11, y=9
x=10, z=11, y=11
x=10, z=11, y=84
x=10, z=11, y=110
x=10, z=84, y=9
x=10, z=84, y=11
x=10, z=84, y=84
x=10, z=84, y=110
x=10, z=110, y=9
x=10, z=110, y=11
x=10, z=110, y=84
x=10, z=110, y=110
x=11, z=10, y=10
x=11, z=10, y=12
x=11, z=10, y=110
x=11, z=12, y=10
x=11, z=12, y=12
x=11, z=12, y=110
x=11, z=110, y=10
x=11, z=110, y=12
x=11, z=110, y=110
x=12, z=11, y=11
x=12, z=11, y=13
x=12, z=11, y=95
x=12, z=11, y=108
x=12, z=13, y=11
x=12, z=13, y=13
x=12, z=13, y=95
x=12, z=13, y=108
x=12, z=95, y=11
x=12, z=95, y=13
x=12, z=95, y=95
x=12, z=95, y=108
x=12, z=108, y=11
x=12, z=108, y=13
x=12, z=108, y=95
x=12, z=108, y=108
x=13, z=12, y=12
x=13, z=12, y=14
